"Name","X1_aq.mzML","X13_aq.mzML","X133_aq.mzML","X134_aq.mzML","X135_aq.mzML","X136_aq.mzML","X140_aq.mzML","X142_aq.mzML","X143_aq.mzML","X144_aq.mzML","X146_aq.mzML","X147_aq.mzML","X148_aq.mzML","X150_aq.mzML","X161_aq.mzML","X162_aq.mzML","X164_aq.mzML","X167_aq.mzML","X168_aq.mzML","X169_aq.mzML","X170_aq.mzML","X172_aq.mzML","X173_aq.mzML","X174_aq.mzML","X175_aq.mzML","X176_aq.mzML","X16_aq.mzML","X17_aq.mzML","X18_aq.mzML","X19_aq.mzML","X20_aq.mzML","X21_aq.mzML","X22_aq.mzML","X2_aq.mzML","X23_aq.mzML","X25_aq.mzML","X26_aq.mzML","X27_aq.mzML","X29_aq.mzML","X30_aq.mzML","X31_aq.mzML","X32_aq.mzML","X33_aq.mzML","X3_aq.mzML","X35_aq.mzML","X36_aq.mzML","X40_aq.mzML","X41_aq.mzML","X42_aq.mzML","X43_aq.mzML","X45_aq.mzML","X46_aq.mzML","X5_aq.mzML","X48_aq.mzML","X49_aq.mzML","X151_aq.mzML","X152_aq.mzML","X155_aq.mzML","X156_aq.mzML","X6_aq.mzML","X51_aq.mzML","X52_aq.mzML","X53_aq.mzML","X54_aq.mzML","X56_aq.mzML","X58_aq.mzML","X59_aq.mzML","X60_aq.mzML","X61_aq.mzML","X62_aq.mzML","X7_aq.mzML","X63_aq.mzML","X66_aq.mzML","X68_aq.mzML","X69_aq.mzML","X71_aq.mzML","X73_aq.mzML","X75_aq.mzML","X76_aq.mzML","X77_aq.mzML","X78_aq.mzML","X8_aq.mzML","X80_aq.mzML","X81_aq.mzML","X82_aq.mzML","X83_aq.mzML","X84_aq.mzML","X85_aq.mzML","X86_aq.mzML","X88_aq.mzML","X90_aq.mzML","X10_aq.mzML","X93_aq.mzML","X101_aq.mzML","X103_aq.mzML","X104_aq.mzML","X107_aq.mzML","X109_aq.mzML","X112_aq.mzML","X115_aq.mzML","X11_aq.mzML","X122_aq.mzML","X123_aq.mzML","X124_aq.mzML","X125_aq.mzML","X127_aq.mzML","X128_aq.mzML","X129_aq.mzML","X130_aq.mzML","X131_aq.mzML","X132_aq.mzML"
"Eggerthella sinensis",0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0.01,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0
"Gordonibacter sp. An230",0,0,0,0,0,0.011,0,0.007,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubneribacter badeniensis",0,0,0,0,0,0.059,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0.073
"Enteroscipio rubneri",0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.016,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0.016,0,0,0,0.008
"Bifidobacterium animalis",0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0.191,0,0,0,0,0,0,0,0,0,0,1.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium freudenreichii",0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. OM05-12",0,0,0,0,0,0.006,0,0,0,0,0.011,0,0,0,0.008,0.008,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.025,0,0,0.011,0,0,0,0.009,0,0.009,0,0
"Bacteroides ilei",0,0,0,0,0,0.015,0,0.009,0,0.018,0,0,0,0,0.007,0,0,0.037,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.011,0.008,0,0,0,0,0,0,0.011,0,0,0,0.01,0,0,0,0,0.012,0,0,0,0.009,0.049,0.008,0,0,0.016,0,0,0.018,0,0,0,0.009,0,0.042,0,0.027,0,0,0,0.009,0,0,0.01,0,0,0.02,0,0,0.012,0,0,0,0,0.009,0.009,0,0,0.014,0,0,0,0,0,0,0.007,0,0.009,0,0,0,0,0.012,0,0.01,0.022,0.011,0,0
"Bacteroides mediterraneensis",0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.085,0.015,0,0,0.009,0,0,0.022,0,0,0,0.04,0,0,0,0.09,0,0,0,0,0,0,0.011,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0.034,0.009,0,0,0.039,0.013,0,0,0.019,0,0,0
"Bacteroides ndongoniae",0,0,0,0,0,0.007,0,1.548,0.018,0.018,0.012,0,0,0,0.041,0.016,0,0.021,0.009,0.008,0,0.014,0.008,0,0.015,0,0.011,0,0,0,0,0.008,0,0,0,0,0,0,0,1.182,0,0.014,0,0.012,0,0,0,0,0.021,0.019,0,0,0,0.015,0.009,0,0,0.01,0,0,0.012,0.009,0,0,0.021,0,0.013,0,0.04,0.011,0,0,0,0,0,0,0,0,0.015,0,0.018,0.019,0.032,0.009,0.008,0,0,0,0.008,0.023,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.022,0.016,0.009,0.013,0,0.029,0,0.009
"Phocaeicola salanitronis",0,0,0,0,0,0.048,0,0.009,0.008,0.01,0.007,0,0,0,0.016,0,0,0,0,0,0,0.014,0,0,0,0,0.013,0,0,0,0,0.027,0,0,0.017,0,0,0.01,0,0.014,0,0,0.008,0,0.013,0,0,0.008,0,0.014,0.012,0,0,0.032,0,0,0,0.022,0,0.041,0,0,0,0,0.014,0,0,0,0.096,0.007,0,0,0,0,0,0.01,0,0,0.011,0,0.014,0.024,0.007,0,0,0,0,0,0.008,0.046,0.011,0,0.01,0,0,0.009,0,0,0,0.009,0.007,0.008,0,0.023,0.02,0.025,0.011,0.015,0.008,0,0.041
"Phocaeicola barnesiae",0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.013,0.012,0,0,0,0.01,0.018,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0.026,0,0,0.03,0.009,0.008,0,0,0,0,0,0,0.008,0.007,0.008,0,0,0,0,0,0,0,0,0,0.014,0,0,0.019,0.011,0.01,0,0.02,0,0,0,0.009
"Phocaeicola plebeius",0,0,0,0,0,0.009,0.01,0,0,0.068,0.019,0.027,0.011,0.022,0.238,0.013,0,0,7.365,0.039,0,0.022,0,0.007,0.011,0.011,0.403,0,0,0,0,0.031,0,0.012,0.014,0,0.535,0.013,0,0,0,0.118,0.013,0,0.01,0,0,0.052,1.16,0.028,0,0,0.058,5.764,4.417,0,0.042,1.774,0,0,1.263,0.012,0.125,0,4.899,0.062,0,0,9.054,0.016,0,0,0.655,0.018,0.01,6.081,0.013,0.007,4.564,2.034,0.026,0.015,0.044,0.049,0.01,0,0.013,0.019,0,0.032,0.021,0,0.028,0,0.02,0.022,0.013,0,0.008,0,1.014,0.008,0.031,0.012,0.049,0.012,0.008,0.049,0.039,0.869,0.025
"Parabacteroides chinchillae",0,0,0,0,0,0.016,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.009,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0.006,0,0,0,0.007,0,0,0,0,0.017,0,0.007,0,0.035,0,0
"Parabacteroides gordonii",0,0,0,0,0,0.011,0,0,0,0.065,0,0.025,0.011,0.022,0.229,0,0,0,0,0.033,0,0.04,0,0,0,0,0,0,0,0.007,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0.052,0,0.052,0,0,0.04,0.019,0,0,0,0,0.011,0,0.012,0,0,0,0,0,0.015,0,0.007,0,0,0,0,0.019,0,0,0.011,0,0.015,0,0.011,0.007,0,0.029,0.009,0,0,0,0,0,0.048,0,0.01,0,0.013,0.014,0.019,0,0.007,0.007,0,0,0,0,0.01,0.007,0,0,0,0,0.006
"Prevotellaceae bacterium",0,0,0,0,0,0.012,0,0,0,0,0,0.009,0.007,0.008,0,0,0,0.007,0,0,0,0,0,0,0.006,0,0,0,0,0,0.009,0,0.007,0.014,0.009,0.01,0.007,0,0,0.012,0.009,0.014,0.007,0,0.018,0.107,0,0,0,0.007,0.033,0,0,0,0,0,0,0.088,0,0.011,0.009,0,0,0.08,0,0,0.012,0,0,0,0.02,0.026,0,0,0.01,0.009,0,0,0,0,0,0,0.006,0,0.009,0,0.009,0.018,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.021,0,0,0.008,0,0.018,0.006
"Desulfovibrio desulfuricans",0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bacterium 1XD42-54",0,0,0,0,0,0.01,0.011,0,0,0,0,0,0,0.009,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.007,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0.012,0,0,0,0,0,0.013,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.006,0,0.011,0.01,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae bacterium UBA5895",0,0,0,0,0,0,0.009,0.05,0.04,0,0,0,0,0,0.011,0,0,0.011,0,0,0,0.007,0.006,0,0.014,0,0.019,0,0.013,0.019,0,0.023,0.016,0,0.078,0.064,0.038,0.014,0.092,0,0.01,0,0,0,0.015,0.008,0.024,0.029,0.008,0,0.015,0,0.046,0.019,0.007,0.013,0,0.028,0.01,0,0.056,0,0.012,0,0.055,0,0,0.007,0,0,0,0.034,0,0.011,0.029,0,0.013,0.019,0,0,0.272,0.014,0,0,0,0.031,0,0.036,0.024,0,0.017,0.009,0,0,0,0,0.155,0,0.019,0,0.164,0.034,0,0,0,0,0.04,0,0.006,0,0
"Lachnoclostridium sp. An298",0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.011,0.007,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.01,0.011,0,0.009,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.008,0,0.007,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium edouardi",0,0,0,0,0,0,0.01,0.011,0,0.01,0,0.029,0,0.041,0.007,0,0,0.006,0,0.007,0,0.025,0,0,0,0,0,0.017,0.009,0,0.008,0,0.027,0.009,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.009,0,0.015,0.008,0,0.01,0,0,0,0,0,0.01,0.007,0.009,0.007,0.025,0,0.007,0,0.006,0,0,0,0,0,0,0,0.01,0,0.012,0,0,0,0.007,0.014,0,0,0,0,0,0,0,0,0,0.006,0.015,0,0.019,0,0.011,0.012,0.01,0,0,0,0,0,0,0.02,0,0.028,0,0.007,0
"Ruminococcus sp. Phil15",0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:403",0,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.008,0.027,0,0.008,0.015,0,0.01,0,0.006,0.009,0.008,0,0,0,0,0.007,0,0,0.123,0.014,0,0,0,0,0,0.007,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.009,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0.062,0,0,0,0,0
"Oscillospiraceae bacterium UBA4632",0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.016,0,0,0.009,0.006,0.01,0,0,0,0,0,0.007,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.013,0.007,0,0,0,0.009,0,0,0,0.007,0,0,0,0,0,0,0.006,0.007,0,0,0.006,0,0.007,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0
"Harryflintia acetispora",0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0
"Emergencia timonensis",0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0.008,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:273",0,0,0,0,0,0,0.034,0,0,0,0,0.369,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0
"Eubacterium sp. AF36-5BH",0,0,0,0,0,0,0.043,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0.117,0.012,0,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0.013,0,0,0,0.014,0,0.083,0.014,0.09,0,0,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0.047,0,0,0,0,0,0.234,0,0,0,0,0,0.041,0,0,0.031,0.06,0,0,0
"Intestinibacillus sp. Marseille-P6563",0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.009,0,0.018,0,0,0,0,0.013,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.008,0,0.046,0,0,0,0,0,0,0.007,0,0.009,0,0,0,0,0,0,0,0,0,0.019,0.01,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0.017,0,0,0.007,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.009,0,0,0,0.009
"Clostridiales bacterium UBA6468",0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.009,0,0,0,0.017,0,0,0.037,0,0,0.226,0.016,0,0,0.009,0.019,0,0.013,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.012,0,0.008,0,0.006,0.009,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0
"Christensenella intestinihominis",0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium sp. CAG:266",0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0.459,0.121,0,0,0,0,0,0,0,0,1.143,0,0,0.966,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0.009,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0
"Veillonella parvula",0,0,0,0,0,0,0.009,0,0.009,0.059,0,0,0,0.652,0,0,0,0,0,0,1.865,0.008,0,0.095,0.036,2.69,0,0,0,0.032,0,0,0,0,0,0.019,0,0,0,0,0.014,0,0.011,0.016,0,0,0,0,0,0.008,0.009,0,0,0,0,0,0,0,0,0,0,0.01,0.074,0,0.015,0,0.011,0.025,0,0,0,0,0.07,0,0.008,0.014,0,0,0,0,0.085,0,0.009,0,0.008,0,0.015,0,0,0,0,0,0,0.011,0,0,0.008,0.015,0,0,0.014,0,0,0,0.175,0,0,0,0,0,0
"Enterococcus hirae",0,0,0,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus casseliflavus",0,0,0,0,0,0,0.208,0,0.095,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus sp. CR-Ec1",0,0,0,0,0,0,0.05,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus villorum",0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacillus dolichus",0,0,0,0,0,0,0.007,0,0,0,0,0.296,0,0,0,0,0,0,0,0.007,0,0.055,0.009,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.007,0.007,0,0.007,0,0,0,0,0.009,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0.016,0.033,0.008,0,0,0,0,0,0.029,0,0,0.018,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"Candidatus Stoquefichus sp. SB1",0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.017,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalicoccus pleomorphus",0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces oris",0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0.021,0.012,0.015,0,0,0.051,0,0,0,0,0,0,0,0,0.018,0.01,0,0,0,0,0,0,0,0,0.021,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.01,0.013,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0.012,0.012,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cellulomonas carbonis",0,0,0,0,0,0,0.011,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0.009,0,0,0,0,0,0.012,0,0.022,0,0.007,0,0,0,0,0,0.009,0,0.017,0,0,0,0,0.026,0,0,0,0,0,0,0,0.017,0,0,0.015,0,0.011,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0.007,0,0,0,0,0.021,0
"Collinsella intestinalis",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raoultibacter massiliensis",0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0.007,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0
"Candidatus Gastranaerophilales bacterium HUM_12",0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0.018,0,0.038,0,0,0.011,0.025,0,0,0,0.012,0,0,0,0,0,0.017,0,0,0,0,0,0.009,0.006,0,0.009,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0
"Cyanobacteria bacterium UBA6446",0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter sp. AF15-53",0,0,0,0,0,0,0.016,0,0,0,0,0,0,0.007,0.011,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.008,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
